"serogroup","X10_116_S10counts","X11_117_S11counts","X12_118_S12counts","X13_119_S13counts","X14_120_S14counts","X15_131_S15counts","X16_132_S16counts","X17_133_S17counts","X18_134_S18counts","X19_135_S19counts","X1_92_S1counts","X20_136_S20counts","X21_137_S21counts","X22_138_S22counts","X23_139_S23counts","X24_ctrl_S24counts","X25_92_S25counts","X26_94_S26counts","X27_96_S27counts","X28_97_S28counts","X2_94_S2counts","X29_98_S29counts","X30_99_S30counts","X31_100_S31counts","X32_111_S32counts","X33_112_S33counts","X34_116_S34counts","X35_117_S35counts","X36_118_S36counts","X37_119_S37counts","X38_120_S38counts","X39_131_S39counts","X3_96_S3counts","X40_132_S40counts","X41_133_S41counts","X42_134_S42counts","X43_135_S43counts","X44_136_S44counts","X45_137_S45counts","X46_138_S46counts","X47_139_S47counts","X48_ctrl_S48counts","X4_97_S4counts","X49_92_S49counts","X50_94_S50counts","X51_96_S51counts","X52_97_S52counts","X53_98_S53counts","X54_99_S54counts","X55_100_S55counts","X56_111_S56counts","X57_112_S57counts","X58_116_S58counts","X59_117_S59counts","X5_98_S5counts","X60_118_S60counts","X61_119_S61counts","X62_120_S62counts","X63_131_S63counts","X64_132_S64counts","X65_133_S65counts","X66_134_S66counts","X67_135_S67counts","X68_136_S68counts","X69_137_S69counts","X6_99_S6counts","X70_138_S70counts","X7_100_S7counts","X71_139_S71counts","X72_ctrl_S72counts","X73_92_S73counts","X74_94_S74counts","X75_96_S75counts","X76_97_S76counts","X77_98_S77counts","X78_99_S78counts","X79_100_S79counts","X80_111_S80counts","X81_112_S81counts","X8_111_S8counts","X82_116_S82counts","X83_117_S83counts","X84_118_S84counts","X85_119_S85counts","X86_120_S86counts","X87_131_S87counts","X88_132_S88counts","X89_133_S89counts","X90_134_S90counts","X9_112_S9counts","X91_135_S91counts","X92_136_S92counts","X93_137_S93counts","X94_138_S94counts","X95_139_S95counts","X96_ctrl_S96counts"
"O11",0,0,1,0,1,17,3,0,6,0,29,0,0,2,2,0,37,0,0,0,0,0,0,0,0,0,0,0,2,0,3,33,1,7,0,16,0,0,0,1,8,0,0,38,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,10,0,2,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,1,1,0,0,0,0,0,0
"O111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O113",0,51,3,0,46,33,16,25,0,0,0,1,2,0,7,0,1,1,2,31,0,3,0,4,17,27,0,56,13,0,83,75,4,14,35,3,1,0,4,1,21,0,17,0,0,0,1,0,0,0,0,3,0,10,2,21,0,1,1,2,1,0,0,1,5,0,0,5,0,0,0,0,0,0,0,0,0,0,1,6,0,7,1,0,0,0,2,0,0,15,0,0,0,0,0,0
"O115B",0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"O119A",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
"O121B",0,0,0,0,0,1,1,1,0,0,0,0,794,0,0,325,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,4,2,0,1,1,838,0,0,893,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,2,0,0,544,0,0,0,0,0,1,0,0,0,0,0,0,8,1,6,0,0,0,0,0,0,0,1,0,0,0,0,86,0,0,0
"O123A",1,175,3,18,19,19,0,395,164,1043,5,812,16,0,0,0,5,1974,0,706,1723,76,39,0,1,244,1,154,0,11,56,13,0,0,712,261,847,466,4,3,0,0,1212,13,1075,0,157,100,75,0,2,66,0,180,77,27,17,29,16,2,549,218,474,1058,63,112,4,0,0,1,13,221,0,0,7,9,0,3,52,4,0,8,4,5,0,0,0,114,138,241,67,350,12,1,0,0
"O123B",0,0,3,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,4,0,0,0,13,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,12,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0
"O126A",0,0,2,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O129B",0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"O13",0,0,4,1,2,5,23,5,0,0,1,0,6,10,4,0,1,1,0,33,0,0,0,1,9,14,0,0,19,0,2,4,0,33,8,2,0,4,4,7,4,0,14,0,0,0,1,0,0,1,4,0,0,0,0,18,0,0,0,4,0,0,0,0,5,0,2,0,1,0,1,0,0,0,0,0,0,5,0,5,0,0,3,0,0,0,1,0,0,9,0,1,1,0,0,0
"O130B",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O139B",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
"O14",1,0,1,0,0,0,2,2,3,2,4,0,15,6,6,0,16,0,3,7,0,0,0,0,2,8,2,0,2,0,0,2,2,0,4,1,5,2,14,4,20,0,0,11,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,0,1,1,0,19,0,1,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,5,0,0,0
